station,latitude,longitude
Bohumin Vrbice,inf,inf
Mikołów Jamna,50.1942485,18.9231576
Mikołów,50.1728595,18.8992953
Łaziska Górne,50.1593894,18.8452326
Łaziska Górne Brada,50.1580552,18.8208179
Orzesze,50.1543853,18.7776893
Orzesze Jaśkowice,50.1447994,18.740753
Czerwionka,50.148788,18.6851834
Leszczyny,52.0499668,22.0628789
Rybnik Paruszowiec,50.1027883,18.5656133
Rybnik Towarowy,50.066575,18.5157368
Rybnik Niedobczyce,50.0664565,18.4946596
Rybnik Niewiadom,50.0693711,18.4692579
Rydułtowy,50.0690055,18.4259766
Łuków Śląski,50.100714,18.4091741
Sumina Wieś,50.1218677,18.4105622
Sumina,50.1369801,18.4014853
Górki Śląskie,50.1422541,18.3888565
Szymocice,50.151106,18.3496721
Nędza Wieś,50.1640963,18.307046516387
Nędza,50.15682245,18.2917203926777
Racibórz Markowice,50.1132299,18.270162
Racibórz,50.0903312,18.2263782
Rybnik Rymer,50.0562133,18.4971621
Radlin Obszary,50.0412504,18.4946733
Wodzisław Śląski Radlin,50.0204541,18.4813752
Czyżowice,49.9740476,18.4253931
Bełsznica,49.9728895,18.3732112
Olza,49.9603576,18.3388857
Rudyszwałd,49.9403201,18.3032254
Namysłów,51.0743908,17.717021
Wilków Namysłowski,51.094239,17.6584067
Bierutów,51.1284443,17.5461214
Solniki Wielkie,51.1540102,17.4938316
Oleśnica,50.1691988,20.9359487
Borowa Oleśnicka,51.1841096,17.2760947
Długołęka,51.6791431,17.2093558
Laskowice Pomorskie,53.4910465,18.4559143
Mogilno,52.6585904,17.9461751
Jarocin,51.9686382,17.4941863
Ostrów Wielkopolski,51.6492473,17.8056254
Oleśnica Rataje,51.2165073,17.3646194
Jaworzyna Śląska,50.9124681,16.4288522
Świebodzice,50.8601928,16.3328311
Wałbrzych Miasto,50.7862286,16.2852337
Wałbrzych Główny,50.7433935,16.2806898
Sędzisław,50.8134159,16.0698493
Marciszów,50.8514982,16.0076011
Janowice Wielkie,50.8785015,15.9187624
Jelenia Góra,50.9025882,15.7559869
Gałkówek,51.7298223,19.7318181
Żakowice,51.7321929,19.7910611
Chrusty Nowe,51.6952574,19.794529
Rokiciny,51.6675415,19.7806935
Łaznów,51.6313427,19.7550219
Wolbórka,51.5927825,19.7232675
Baby,51.6025888,17.6713864
Moszczenica,51.50468995,19.6766074619988
Jarosty,51.4623231,19.6932381
Piotrków Trybunalski,51.4104653,19.6846413
Milejów,51.3553017,19.6757032
Rozprza,51.3012771,19.6599099
Luciążanka,51.2772002,19.6481802
Wilkoszewice,51.2519772,19.6307421
Gorzkowice,51.2182938,19.603241
Gorzędów,51.1969912,19.5437765
Kamieńsk,51.1862461,19.4989929
Gomunice,51.1635621,19.4867937
Dobryszyce koło Radomska,51.12434,19.4443479
Radomsko,51.0745339,19.4376128
Bobry,51.0287211,19.4048156
Widzów Teklinów,50.9811704,19.3673427
Jacków,50.9648445,19.3549109
Kłomnice,50.9159863,19.3414573
Rzerzęczyce,50.897353,19.3284143
Rudniki k/Częstochowy,50.8782089,19.2322503
Częstochowa Aniołów,50.8352835,19.1516348
Wągrowiec,52.809638,17.203482
Przysieczyn,52.7536907,17.1839701
Roszkowo Wągrowieckie,52.7087447,17.1762878
Skoki,52.6741893,17.1620475
Sława Wielkopolska,52.6345955,17.1439686
Murowana Goślina,52.5750843,17.0157429
Owińska,52.5114361,16.987596
Czerwonak,52.4686134,16.9798673883354
Poznań Karolin,52.4384218,16.9814064
Poznań Dębiec,52.3681804,16.9010752
Luboń k. Poznania,52.3442196,16.8929038
Wiry,53.4868709,15.1967687
Szreniawa,52.3177927,16.8008044
Trzebaw Rosnówko,52.2964905,16.7671098
Stęszew,52.28139685,16.7108063130512
